uma,中項目,小項目(辞書版出来ました),"追加したい項目は追加希望シートに記載ください,調べたい物は,検索シートが便利です",,大項目,34,中項目,
元素法典,ネガティブ3,未名雨ネガティブ,"{{{{{large breasts}}}}},huge breasts,worst quality,fat,child,low teenmasterpiece,black hair,adult,old,phobia,loli,low teen,blush,fate,realistic,smrealist,clothes,nsfw,masterpiece,a,naturalistic,hair,hair,sand,dress,hatching,absolutely long hair,nsfw,owres,bad anatomy,bad hands,text,error,missing fingers,extra digit,liquid tongue,long neck,fused ears,bad ears,poorly drawn ears,extra ears,liquid ears,heavy ears,missing ears,fused animal ears,bad animal ears,poorly drawn animal ears,extra animal ears,liquid animal ears,heavy animal ears,missing animal ears,bad hairs,poorly drawn hairs,fused hairs,bad face,fused face,poorly drawn face,cloned face,big face,long face,bad eyes,fused eyes poorly drawn eyes,extra eyes",",",,,,
元素法典,ネガティブ3,未名花ネガティブ,"large breast,huge breast,worst quality masterpiece,black hair,landscape,adult,old,phobia,loli,low teen,blush,fate,flat color,wear,realistic,smrealist,clothes,nsfw,masterpiece,a,naturalistic,hair,hair,flower,dress,hatching,absolutely long hair,nsfw,owres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,long neck,humpbacked",",",,,,
元素法典,ネガティブ3,立体主义ネガティブ,"lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,bad feet",",",,,,
元素法典,ネガティブ3,林奈法ネガティブ,"lowres,bad anatomy,error,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,bad feet,artist name,blurred,poorly drawn face,extra fingers,missing fingers,fused fingers,abnormal fingers,fused hands,ugly,3d",",",,,,
元素法典,ネガティブ3,彷徨ネガティブ,"longbody,lowres,bad anatomy,bad hands,missing fingers,pubic hair,extra digit,fewer digits,cropped,worst quality,low quality",",",,,,
元素法典,ネガティブ3,狡兽录ネガティブ,"nsfw,owres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,large breasts",",",,,,
元素法典,ネガティブ3,默剧法ネガティブ,"nsfw, lowres, bad anatomy, bad hands, text error, missing fingers, extra digits, fewer digits, cropped, worst quality, low quality, standard quality, peg artifacts, signature, watermark, username, blurry",",",,,,
元素法典,ネガティブ3,军姬法ネガティブ,"nsfw,lower,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,long neck,humpbacked,shadow,nude",",",,,,
元素法典,ネガティブ3,嘻哈风ネガティブ,"lowres,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing arms,long neck,humpbacked,malformed limbs,poorly drawn,poorly drawn hands,mutilated,missing legs,{unclear eyes},{more than 2 thighs},deformed,extra legs,mutated hands and fingers,three legs,bad face,error,extra limbs,worstquality,low quality,{bad anatomy},{{malformed}}",",",,,,
元素法典,ネガティブ3,圣宫法ネガティブ,"lowres,bad anatomy,bad hands,text,error,missing fingers,extra digits,fewer digits,cropped,worth quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,bad feet,realistic,3d,{large breast},blush,long neck,missing leg,merged leg,more than one girl,more than one arm",",",,,,
元素法典,ネガティブ3,开席术ネガティブ,"low quality,middle quality,cluttered placement,watermark,signature,low detail,ugly food,distorted picture,misplaced picture,incomplete,densely packed,error,duplicate,mutation,vague vistas,low image,poorly drawn,mutilated piece,food that has been eaten",",",,,,
元素法典,ネガティブ3,樱乐会ネガティブ,"an incomplete face,a contorted face,hand,lowres,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,long neck,humpbacked,extra legs",",",,,,
元素法典,ネガティブ3,灵铠法ネガティブ,"text,lowres,bad anatomy,bad hands,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,bad feet,ugly,duplicate,trannsexual,hermaphrodite,poorly drawn hands,poorly drawn face,mutation,deformed,blurry,bad anatomy,bad proportions,extra limbs,cloned face,disfigured,more than 2 nipples,out of frame,ugly,extra limbs,bad anatomy,gross,worst quality,low quality,normal quality,signature,watermark,username,blurry,proportions,malformed limbs,missing arms,missing legs,extra arms,extra legs,mutated hands,fused fingers,too many fingers,long neck",",",,,,
元素法典,ネガティブ3,积木法ネガティブ,"lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,bad feet",",",,,,
元素法典,ネガティブ3,穷奇录ネガティブ,"lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,more than four hooves,less than four hooves,too many hooves,too many horns,less than two wings,more than two wings,more than two cows",",",,,,
元素法典,ネガティブ3,萝卜法ネガティブ,"backlight,missing legs,lowres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worstquality,low quality,normal quality,jpegartifacts,signature,watermark,username,blurry,badfeet,nsfw,owres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing fingers,bad hands,missing arms,long neck,humpbacked,shadow,nude,missing head,mutiple legs,impersonal,full body",",",,,,
元素法典,ネガティブ3,跑团法ネガティブ,"lowres,bad hands,text,error,missing fingers,extra digits,fewer digits,cropped,worth quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,bad feet,realistic,3d,{large breast},blush,long neck,bad arms,lowres,bad anatomy,bad hands,text,error,missing fingers,extra digits,fewer digits,cropped,worth quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,bad feet,realistic,3d,{large breast},blush,long neck,multiple people,animals,missing legs,huge person",",",,,,
元素法典,ネガティブ3,黑洞法ネガティブ,"low quality mapping,low quality cg,asymmetric bipolar jet,low detail,character features,text watermark",",",,,,
元素法典,ネガティブ3,龙女幻想ネガティブ,"nsfw,owres,bad anatomy,bad hands,text,error,missing fingers,extra digit,fewer digits,cropped,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,username,blurry,missing arms,long neck,humpbacked,shadow,nude,2 girl",",",,,,
元素法典,ネガティブ基本,元素法典１,"longbody, lowres, bad anatomy, bad hands, missing fingers, pubic hair,extra digit, fewer digits, cropped, worst quality, low quality",",",,,,
元素法典,ポジティブ3,red | ψ 恶魔·深渊ポジティブ,"masterpiece,best quality,masterpiece,{best quality},highly detailed,ultra detailed,illustration,depth of field,cold,solo,{{{dark prison}}},{{{1girl}}},black short hair,bob haircut,{{long sleeves}},off shoulder,detailed eyes,{{hematic red eyes}},{{tareme}},{{crazy}},expressionless,{{prisoner's garb}},handcuffs,chain,hammer,miniskirt,{metal jewelry},{{{heavy metal}}},foot cuffs,cross laced footwear,choker,{{monster energy}},{demon array},{{{666}}},dry ice fog",",",,,,
元素法典,ポジティブ3,怨念芷ポジティブ,"long hair,beautiful detailed eyes,beautiful detailed hair,petals,{{{flowing}}},{{{{{full body}}}}},1girl,{{paper cut}},red,{beautiful detailed eyes},floating hai",",",,,,
元素法典,ポジティブ3,黄金叶ポジティブ,"{{{masterpiece}}},{{{crystals texture hair}}},{{{{{extremely detailed cg}}}}},{{8k wallpaper}},{{{{{{{{{{1 girls}}}}}}}}}},big top sleeves,floating,beautiful detailed eyes,overexposure,side blunt bangs,buttons,bare shoulders,{loli},light shafts,soft focus,character focus,wings,{{{transparent wings}}},{{wings made of golden lines}},angel wing,gold halo around girl,many golden ribbon,aureate headgear,gold magic circle in sky,ight,{{{{{{black sky:galaxy background}}}}}},snowflakes,night sky,black pupils,starts sky background,stars behind girl,view on sky,standing,{elegant hair},long hair,the flying golden lines,messy golden lines,halo,hairs between eyes,small breasts,ribbons,bowties,red eyes,golden pupil,white hair,flowing hair,disheveled hair,{lowing long hair:delicate arms and hands}",",",,,,
元素法典,ポジティブ3,夏夜之狐ポジティブ,"original,{masterpiece},{illustration},{extremely fine and beautiful},{perfect details},{unity cg 8k wallpaper5},{{{{beautiful and clear background5}}}},{depth of field},{{{{1 cute girl with 2 fox ear and fox tail on the back stands aside the river5. cute}}}},{{{{{{detailed beautiful eyes}}}}}},{{{{{{beautiful face}}}}}},silver hair,silver ear,{pink hair},{pink ear},long hair,{{{{japanese kimomo5}}}},{{hair blowing with the wind}},{{blue eye}},{{little girl}},butterflys flying around,{moon light},tree,{summer},{{{{night}}}},{close up5},{gloves},solo",",",,,,
元素法典,ポジティブ3,街头涂鸦ポジティブ,"{{{best quality}}},{{fresco}},street mural,{character graffiti},{colourful},cyberpunk",",",,,,
元素法典,ポジティブ3,机魂法ポジティブ,"{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{illustration},{{an extremely delicate and beautiful}},dynamic angle,floating,{painting},{black armor},mecha,{{{evil paws}}},rainy days,burning palace,{horrible},{{solo}},{chain},{{howling}},bloody,full body,{{1man}},fire ring,fog,{{look up}},cloak,{two arms}",",",,,,
元素法典,ポジティブ3,徽章法ポジティブ,"{{logo}},{solo},{badge},graphic design,minimalism,gestalt,{{visual impact}},{overexposure},{{{masterpiece}}},{{extremely detailed}},colorful,hdr",",",,,,
元素法典,ポジティブ3,巨星法ポジティブ,"cola exists,planetarium,sky,fantasy,{{{giant jupiter}}},blue,{{{huge jupiter}}},{{{masterpiece}}},{{the best quality}},super fine illustrations,beautiful and delicate water,{{very delicate light}},starfall,clean sky,night sky,night,depth of field,{{{two moons}}},giants,megaphobia,{{extremely detailed cg unity 8k wallpaper}},{ultra detailed},{extremely delicate and beautiful}",",",,,,
元素法典,ポジティブ3,教堂壁画ポジティブ,"{{{best quality}}},{{fresco}},christianity,dome,angel,（the creation of adam）",",",,,,
元素法典,ポジティブ3,原法典·圣经篇ポジティブ,"{{oil painting}},{{masterpiece}},{{best quality}},{{ultra detailed}},{illustration},{{impasto paintings}},highres,{beautiful detailed},{saintbeautiful detailed faces},cinematic lighting,classicism,+圣经原文",",",,,,
元素法典,ポジティブ3,古典系ポジティブ,"masterpiece,best quality,masterpiece,best quality,highly detailed,{best quality},{{masterpiece}},{highres},original,{an extremely delicate and beautiful},masterpiece,best quality,highly detailed,{best quality},steampunk,{evil flowerhighres},extremely detailed 8k wallpaper,1girl",",",,,,
元素法典,ポジティブ3,古典肖像法ポジティブ,"{{oil painting}},{{best quality}},{{ultra detailed}},{illustration},{{impasto}},highres,{beautiful detailed},classicism,rembrandt lighting,brown background,detailed face,※キャラ詳細※,sitting on the chair,{portrait},picture frame",",",,,,
元素法典,ポジティブ3,故障艺术ポジティブ,"{{cute anime face}},{best quality},{ultra detailed},{best illustration},{extremely delicate and beautiful},{album cover},album,album description,{error},{{glitch lumpon face}},{{{{{{{{{{glitch art}}}}}}}}}},{pixilation on face},double exposure,{chromatic aberration},light leaks,noise and grain,color degradation,glitch lettering,design,1 girl,art,abstract art,{flat chest},short red hair,short wavy hair,floating black jacket,white school uniform,white beret,bowknot over white beret,floating black feathers,geometry,clear lines,squares,bright,limited palette",",",,,,
元素法典,ポジティブ3,向日葵法ポジティブ,"{{girl in straw hat looking back in a field of sunflowers}},{backlight},{best illumination},best shadow,an extremely delicate and beautiful,girl on the center axis of the picture,small breasts,{{sunflowers with the ultimate in detail}},beautiful detailed sky,perfect body,{beautiful detailed face},extremely delicate and beautiful girls,sunflower fields at sunset,sunset,black hair,beautiful detailed cloud,{{{extremely detailed cg unity 8k wallpaper}}},masterpiece,best quality,ultra detailed,dynamic angle,floating,finely detail,{bloom},{shine},glinting stars,feather,nature,{sunlight},fairyland,{{{the character is in the center of the frame}}}",",",,,,
元素法典,ポジティブ3,工程设计ポジティブ,"{solo},cad,blueprint,engineering line drawings,line diagram,2d,{overexposure},{{{masterpiece}}},{{extremely detailed14514}},hdr",",",,,,
元素法典,ポジティブ3,国风少女ポジティブ,"{{masterpiece}},{{best quality}},{{official art}},{extremely detailed cg unity 8k wallpaper},{{highly detailed}},{{illustration}},traditional chinese painting,{{chinese wind}},{{a girl}},{single},staring,fairy,hair ornament,earrings,jewelry,{very long hair},{messy hair},bare shoulders,ribbon,hairs between eyes,beautiful detailed sky,full body,close up,arms behind back,taoist robe,thighs,aloft,mist shrouded,chinadre,overexposure,wet clothes,medium breast,solo,doll,bare thigh,incredibly absurdres,intense angle,pleated dress,chinese style architecture,single hair bun,white hair,red eyes,sideways glance,cold attitude,eyeshadow,eyeliner,eyes visible through hair,no shoes,ribbon trimmed sleeves,earrings,necklace,tiara,medium breasts,sunlight,reflection light,ray tracing,loli,phoenix crown and rosy robe,blush",",",,,,
元素法典,ポジティブ3,今宵的万用公式ポジティブ,"{{masterpiece}},best quality,highres,original,extremely detailed 8k wallpaper,world masterpiece theater,{an extremely delicate and beautiful cyborg girl},1 cyborg girl,solo,assertive female,{{messy long hair}},dark red hair,{{beautiful detailed eyes}},dark dress,red scarf,torn clothes,arrogant smile,despair,{{{{{{{{{{heroic fight}}}}}}}}}},dynamic blur,detailed background,{{{{{{{{{{cyberpunk}}}}}}}}}},{{{transformed body}}},cloak,focus on face,depth of field,beautiful detailed shadow,dust,splashing blood,{{blood rain}},dynamic angle,light shafts,good lighting,tyndall effect,{aestheticism painting}",",",,,,
元素法典,ポジティブ3,彩漆法ポジティブ,"{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},{illustration},{dynamic angle},{{floating}},{paint},{{disheveled hair}},{solo},{1girl},loli,{{small breasts}},{{{detailed anima face}}},{{beautiful detailed face}},collar,bare shoulders,white hair,{{colorful hair}},{{streaked hair}},beautiful detailed eyes,{gradient color eyes},{{{colorful eyes}}},{{{colorful background}}},{{{high saturation}}},{{{surrounded by colorful splashes}}},{{{surrounded by colorful dot}}},colorful bubble,{{shining}}",",",,,,
元素法典,ポジティブ3,彩墨法ポジティブ,"colorful painting,{{{chinese color ink painting style}}},{{{masterpiece}}},{{{best quality}}},{{ultra detailed}},very precise detailed,{{{a charming chinese girl}}},1girl,solo,delicate beautiful face,{floating},{illustration},{amazing},{absurd},{{sharp focus}},{{extremely detailed}},{{high saturation}},{surrounded by color ink splashes},{{extremely detailed body}},{{colorful}}",",",,,,
元素法典,ポジティブ3,彩绘玻璃ポジティブ,"{glass painting},{stained glass},god light,colorful,story,1girl",",",,,,
元素法典,ポジティブ3,失落之海ポジティブ,"extremely detailed 8k wallpaper,{{highly detailed}},{{masterpiece}},anime:impasto,intricate,fantasy,{1ship},{{{{ocean}}}},{{{{golden boat:golden boat with green fire}}}},clear sky,wind,beautiful sky,{nightsky},{galaxy},{huge blood moon in the background5}",",",,,,
元素法典,ポジティブ3,寂雨ポジティブ,"kowloon walled city）,{{{extremely detailed}}},{{masterpiece}},{{{best quality}}},{{ultra detailed}},{{illustration}},flowing,telegraph pole,solo,1girl,bnematic lighting,vest,{（delicate face）rain},{girl hold an umbrella},grey sky,lonely,（city）,beautiful detailed eyes,detailed wet clothes,blank stare,dynamic angle,umbrella,expressionless,wet,alley,swirl",",",,,,
元素法典,ポジティブ3,春之貓ポジティブ,"original,{masterpiece},{illustration},{extremely fine and beautiful},perfect detailed,photorealistic,{{{{beautiful and clear background5}}}},{depth of field},{{{{1 cute girl with cat ear and cat tail stands in the garden}}}},{{{{{{cute5}}}}}},{{{{{{detailed beautiful eyes}}}}}},{{{{{{beautiful face}}}}}},casual,silver hair,silver ear,{blue hair},{blue ear},long hair,coat,short skirt,hair blowing with the wind,{{{{blue eye}}}},flowers,{little girl5},butterflys flying around",",",,,,
元素法典,ポジティブ3,小小弥赛亚ポジティブ,"{masterpiece},best quality,8k wallpaper,illustration,1 girl,{cat girl},child,deep skin|dark skin,dark orange eyes,glowing eyes,slit pupils,{blue hair},short hair,bangs,{whiskers},maroon cat sunhat|cat ears,{{{{{{hat bow5}}}}}},long purple scarf,flat chest,{closed firebrick robe},wide sleeves,sleeves past wrists,{sleeves past fingers},{leggings5},{cat tail},looking to the side,{{{{{{lateral view|back view5}}}}}},cowboy shot,dynamic angle,no light,{dark wheat field},in field,{fireflies5},wide view,{{{{night}}}},{black sky},cloud,cirrus,{{{{dark shadow|greyscale}}}},{single high tower at far distance}",",",,,,
元素法典,ポジティブ3,蒸汽朋克ポジティブ,"best light,amazing,dream,{{{{detailed steampunk}}}},{{victorian era}},sunny,{{clear sky}},{depth of field},hopeful,{{sketch}},{{{{jiburi}}}},{{bright color}},{{{flat color}}},grand space,{{{{watercolor medium}}}},{{{ink}}},{{{masterpiece}}},{{extremely detailed cg unity 8k wallpaper}},{{ultra detailed}},{hometown},{{man}},{{chromatic aberration}},beautiful blue sky and white clouds,cinematic lighting,{{caustic}},{{{{floating airship above}}}},{{many gentlemen}},{{bird mouth gas mask}},{pocket watch},romanticism,{science and mysticism},{{gentleman's high hat}},{{leather riding boots}},{leather coat},{{windbreaker}},{{motorcycle goggles}},{{{precision flight watch}}},mechanical arm,{{{steam}}},fantasy,{{{gear}}},{steam engine},gothic architecture,wind,fog,steam powered,{19th century},machines,{{lever drive}},steel,rivet,{heavy and slow},grassland far away from the city,utopia,the first industrial revolution,90s,steam whistle,canvas wing,{{steam punk wings}},{{windmill}},landspace,{hang glider},{canvas propeller},hot air balloon,balloon,{waving flag},rope,flying splashes,dutch windmill,gothic architecture,close up focus,{medieval manor},background,scenecy,kikai,{vapour},wooden parts,magic,street",",",,,,
元素法典,ポジティブ3,触手法ポジティブ,"best light,amazing,dream,{{{{detailed steampunk}}}},{{victorian era}},sunny,{{clear sky}},{depth of field},hopeful,{{sketch}},{{{{jiburi}}}},{{bright color}},{{{flat color}}},grand space,{{{{watercolor medium}}}},{{{ink}}},{{{masterpiece}}},{{extremely detailed cg unity 8k wallpaper}},{{ultra detailed}},{hometown},{{man}},{{chromatic aberration}},beautiful blue sky and white clouds,cinematic lighting,{{caustic}},{{{{floating airship above}}}},{{many gentlemen}},{{bird mouth gas mask}},{pocket watch},romanticism,{science and mysticism},{{gentleman's high hat}},{{leather riding boots}},{leather coat},{{windbreaker}},{{motorcycle goggles}},{{{precision flight watch}}},mechanical arm,{{{steam}}},fantasy,{{{gear}}},{steam engine},gothic architecture,wind,fog,steam powered,{19th century},machines,{{lever drive}},steel,rivet,{heavy and slow},grassland far away from the city,utopia,the first industrial revolution,90s,steam whistle,canvas wing,{{steam punk wings}},{{windmill}},landspace,{hang glider},{canvas propeller},hot air balloon,balloon,{waving flag},rope,flying splashes,dutch windmill,gothic architecture,close up focus,{medieval manor},background,scenecy,kikai,{vapour},wooden parts,magic,street",",",,,,
元素法典,ポジティブ3,深海巨物恐惧症ポジティブ,"{{best quality}},{{masterpiece}},{{ultra detailed}},{illustration},{oil paint},it was raining hard at night,{thalassophobia},{huge eyes},only his head was above the water,{monster},{phobia of giant objects},{heavy fog},from below,{ship},searchlight,you can't see the whole picture",",",,,,
元素法典,ポジティブ3,人偶法ポジティブ,"{extremely detailed 8k wallpaper},{masterpiece},{best quality},{{{{{doll}}}}},{{bjd}},toy doll,marionette,{ball joint},{{{{lifeless}}}},{{{inorganic}}},{1girl},beautiful detailed glass eye,handled hair,gorgeous hair,expressionless,indifferent,hyperrealistic,gothic,classical decoration,sit,zoom in on eyes,focus on eyes,rococo style,{{silk thread}}",",",,,,
元素法典,ポジティブ3,人像水墨法ポジティブ,"{{{{{full body}}}}},{{{1girl}}},{{{{black hair}}}},{solo},{{extremely detailed}},{{detailed face}},{{{{ink painting}}}},illustration,{{chinese ink painting}},{{{masterpiece}}},{{{best quality}}},{{{{ink dyeing}}}},{{{watercolor}}},{{chinese brush painting}},{{{extremely delicate and beautiful girls}}},ultra detailed,{{{beautiful detailed eyes}}},{cheongsam},{chinese style},{{red ink}},smile,ink background,long hair,beautiful detailed eyes,beautiful detailed hair,petals,{{{soaked}}},{{{{floating hair}}}},{{{the character is in the center of the frame}}},{{{flowing}}}",",",,,,
元素法典,ポジティブ3,水镜法ポジティブ,"{best illumination},best shadow,an extremely delicate and beautiful,{{only water}},clear and turquoise sky,water as smooth as a mirror,petal,there are clouds where water and sky connect,{colorful clouds},depth of field,beautiful detailed sky,cyan sky,beautiful detailed cloud,beautiful detailed water,reflection pool,{{{extremely detailed cg unity 8k wallpaper}}},masterpiece,best quality,ultra detailed,dynamic angle,floating,finely detail,{bloom},{shine},glinting stars,feather,nature,{sunlight},fairyland",",",,,,
元素法典,ポジティブ3,瑞雪兆丰年ポジティブ,"{an extremely delicate and beautiful},{{masterpiece}},{{{best quality}}},{{ultra detailed}},{{illustration}},{{solo}},{{{{a girl}}}},{beautiful detailed girl},{{{cheongsam}}},{{{{{{arms behind back}}}}}},red eyes,{{{{beautiful detailed eyes}}}},white hair,spring festival,{{{chinese new year}}},{{{snow}}},{{lunar new year}},firecracker,temple fair,{{busy street}},{detailed fireworks},finely detail,{firecracker},{{the best building}},{{{best shadow}}},many people,{flying snowflakes}",",",,,,
元素法典,ポジティブ3,星战法 2.0ポジティブ,"{{masterpiece}},{{{{best quality}}}},{{ultra detailed}},{{illustration}},{{depth of field}},extremely detailed cg,{8k wallpaper},{{{{{{space}}}}}},destroy,{{{{{{{{spaceship}}}}}}}},{{{{{{{{{{war}}}}}}}}}},{machinery},metal,{fire},{{{{{{wreckage of spaceship}}}}}},{buring},blast,insightful,deep meaning,space war,{{laser}},meteor,{cannon},lost technology,fire weapon,dark theme,high quality spaceship,huge filesize,spaceship fight,high quality blast,spacestation",",",,,,
元素法典,ポジティブ3,星际穿越ポジティブ,"{{masterpiece}},{{{best quality}}},{{ultra detailed}},{{illustration}},{{disheveled hair}},space,spacecraft,{{{{{{{{{{{{{{{{{{{{（spacecraft interior：2.0）}}}}}}}}}}}}}}}}}}}},border,floating,form behind,glowing,grey border,science fiction,{{extremely detailed cg unity 8k wallpaper}},super fine illustrations,the best quality,cockpit,holographic monitor,horizon,realistic,plane,1girl,bangs,blue eyes,bodysuit,book,brown hair,cable,cockpit,computer,drawing tablet,{earth planet},floating,floating book,floating object,glasses,{graphite medium},grey bodysuit,hair over shoulder,juice box,laptop,long hair,looking to the side,planet,scenery,screen,semi rimless eyewear,sitting,solo,space station,star,sunlight,sunrise,traditional media,kunder rim eyewear,window,zero gravity,（aerial battle,（battle,（crossover,{dogfight},{{{{{{{{{{backlight}}}}}}}}}},middle",",",,,,
元素法典,ポジティブ3,像素法ポジティブ,"{{pixel art}},masterpiece,best quality,cinematic lighting,soft lighting,{{{{{{1girl}}}}}},morning,red eyes,beautiful white hair,{{techwear}},transparent raincoatblack gloves,black coat,{with red ornaments5},{with blue ornaments3},looking to the side,flat chest,raining,beautiful detailed water,beautiful detailed sky,ruins",",",,,,
元素法典,ポジティブ3,太空兔ポジティブ,"{{masterpiece}},{{ultra detailed}},{{illustration}},1girl,aqua theme,black hair,blinking,blue jacket,book,bookshelf,closed mouth,color edtips,constel lation,flat color,holding,holding wand,jacket,looking up,lying,malefocus,multicolored hair,noline art,orange hair,orbital path,planet,shirt,short hair,sitting,solo,space,spacestation,spacecraft interior,starwand,stuffedanima,stuffed bunny,stuffed toy,tele scope,{utaitesinger},wand1,whitefootwear,whiteshirt",",",,,,
元素法典,ポジティブ3,大威天龙ポジティブ,"original,{masterpiece},{illustration},{extremely fine and beautiful},{{extremely detailed5}},{perfect details},{unity cg 8k wallpaper5},{{{{beautiful and clear background5}}}},{depth of field},{{{{{{{{{{a handsome ancient monk1.5}}}}}}}}}},{{detailed beautiful eyes5}},{{{{{{detailed beautiful face5}}}}}},{{{{{{{{bald}}}}}}}},{buddha's light shines back},{{{{the plate sits in front of the temple1.25}}}},{{tower}},{{{{red and yellow and cassock5}}}},{golden and white eye},{early in the morning},{close up5},treee,china,{mountain},{fantasy5},{{{{{{legendary dragon king king5}}}}}},{{{{chinese dragon5}}}},{beautiful detailed glow},{fog},chinadre,{{traditional chinese paintingchinese wind}}",",",,,,
元素法典,ポジティブ3,断墨残楮(花青水)ポジティブ,"dramatic angle,{fluttered detailed ink splashs},{illustration},{{{1 girl}}},{long hair},{expressionless},{{{{{{{{hair ornament}}}}}}}},chinese clothes,night sky,{the girl is by the waterfall},color ink wash painting,{ink splashing},{huaqing splashing},{colorful},sketch,masterpiece,best quality,beautifully painted,highly detailed,{denoising},splash ink,yin yang,{{focus on the girl}},middle finger",",",,,,
元素法典,ポジティブ3,断墨残楮(彩)ポジティブ,"dramatic angle,{fluttered detailed color splashs},{illustration},{{{1 girl}}},{long hair},{rain},{{{{{{{{hair ornament}}}}}}}},there is an ancient palace beside the girl,chinese clothes,{focus on},color ink wash painting,{color splashing},colorful splashing,{{{colorful}}},{sketch},masterpiece,best quality,beautifully painted,highly detailed,{denoising},splash ink,{{ink refraction}},{beautiful detailed sky},moon,highly,detaild,{masterpiece},best quality,extremely detailed cg unity 8k wallpaper,masterpiece,best quality,ultra detailed,{lycoris radiata}",",",,,,
元素法典,ポジティブ3,断墨残楮(胭脂红)ポジティブ,"dramatic angle,{fluttered detailed ink splashs},{illustration},{{{1 girl}}},{long hair},{rain},{{expressionless}},{{{{{{{{carmine hair ornament}}}}}}}},{there is a palace far away from the girl},chinese clothes,{{focus on the girl}},color ink wash painting,{ink splashing},{huaqing splashing},{{colorful}},sketch,masterpiece,best quality,beautifully painted,highly detailed,{denoising},splash ink,yin yang",",",,,,
元素法典,ポジティブ3,断墨残楮ポジティブ,"dramatic angle,{fluttered detailed ink splashs},{illustration},{{{1 girl}}},{long hair},{rain},{expressionless},{{{{{{{{hair ornament}}}}}}}},there is an ancient palace beside the girl,chinese clothes,{focus on},color ink wash painting,{ink splashing},color splashing,{{colorful}},sketch,masterpiece,best quality,beautifully painted,highly detailed,{denoising},splash ink,yin yang",",",,,,
元素法典,ポジティブ3,中国龙ポジティブ,"{master piece},{{{best quality}}},{{{ultra detailedgrand movement}}},{illustration},cool movement,{{1 orient dragon}},black background,beautiful and detailed squama,{{beautiful and detailed loong horns}},beautiful and detailed dragon&apos;s head,beautiful and detailed loong tail,feature,flames,lightning effect,rainy,{suspending},full loong,coherent loong,{{{beautiful and detailed claw}}},{{loong with 4 claws}},overlook view,coordinate,{{slim and long}},{{slim claws}},black,half hidden in the cloud,{{{wash and int}}},chinoiserie,chinese int,{{{mount the cloud and ride the mist}}}",",",,,,
元素法典,ポジティブ3,中式壁画ポジティブ,"{{{best quality}}},{{dunhuang frescoes}},{only murals},chinece ancient,macro shot,longsleeve,{tradictional chinese painting},shadow play,old animation,three dimensional,temple,（traditional chinese painting）,cloud,painted on a rock wall,mural,cave,characters step on the cloud,tang painting,rich rhyme,buddhism,comic,chinese characters",",",,,,
元素法典,ポジティブ3,天堂台阶(景物)ポジティブ,"{{{there are suspended staircase above the sky}}},{{{only suspended staircase}}},{{{clouds surround the white suspended staircase}}},the suspended staircase are snow white,there are only suspended staircase in the sky,white feathers fluttered around the suspended staircase,{{{heaven}}},beautiful detailed sky,beautiful detailed cumulonimbus,{{{extremely detailed cg unity 8k wallpaper}}},masterpiece,best quality,ultra detailed,{best illumination},best shadow,an extremely delicate and beautiful,dynamic angle,floating,finely detail,{bloom},{shine},glinting stars,feather,nature,{sunlight},fairyland,extremely delicate and beautiful girls,full body,cloud gap light",",",,,,
