uma,中項目,小項目(辞書版出来ました),"追加したい項目は追加希望シートに記載ください,調べたい物は,検索シートが便利です",,大項目,34,中項目,
カメラワーク,フォーカス,バストアップ,upper body,",",,,男女,5
カメラワーク,フォーカス,ももから上,cowboy shot,",",,,男性,11
カメラワーク,フォーカス,"下半身,机の下から覗いてるみたいな感じ",lower body,",",,,！必須,1
カメラワーク,フォーカス,顔にフォーカス,face,",",,,エッチな構図,2
カメラワーク,フォーカス,顔のドアップ,close up,",",,,テンプレ,23
カメラワーク,フォーカス,脚が手前で頭まで(セクシー),feet out of frame,",",,,プレイ,49
カメラワーク,フォーカス,"首から上,肖像画",portrait,",",,,ポーズ,41
カメラワーク,フォーカス,全身撮影,full body,",",,,射精,19
カメラワーク,フォーカス,足にフォーカス,feet,",",,,性器,22
カメラワーク,画角,ソロフォーカス,solo focus,",",,,性器の状態,7
カメラワーク,画角,フレームから外れる,out of frame,",",,,性的な道具,6
カメラワーク,画角,下半身だけ,only lower body,",",,,絶頂,5
カメラワーク,画角,上半身のみ,only upper body,",",,,前戯,11
カメラワーク,画角,全身撮影,full body,",",,,属性,12
カメラワーク,画角,頭をフレーム外へ,head out of frame,",",,,体位,10
カメラワーク,距離,カメラとはほど遠い,far from viewer,",",,,恐竜,1
カメラワーク,距離,カメラに近い,very close to viewers,",",,,鳥類,1
カメラワーク,距離,カメラの近く,close to viewers,",",,,動物,4
カメラワーク,構図,アクションシーン,action shot,",",,,メイク,7
カメラワーク,構図,イラストのキャラ割合が減る,wide shot,",",,,眼鏡,6
カメラワーク,構図,おしりにフォーカス,anal focus,",",,,持つ奴,13
カメラワーク,構図,ダイナミックな画角,dynamic angle,",",,,手袋,9
カメラワーク,構図,ドラマチックな画角,dramatic angle,",",,,首,13
カメラワーク,構図,パースの強い画角,perspective,",",,,装飾,5
カメラワーク,構図,ローアングル,low angle,",",,,武器,8
カメラワーク,構図,映画的なショット,cinematic shot,",",,,帽子,27
カメラワーク,構図,映画的な画角,cinematic angle,",",,,国,4
カメラワーク,構図,下から見上げてる構図,from up side,",",,,種族,31
カメラワーク,構図,強烈な画角,intense angle,",",,,職業,44
カメラワーク,構図,後ろから,on back,",",,,性質,17
カメラワーク,構図,視姦(もっともエロいと思われるカメラワークにする),staring,",",,,年齢層,14
カメラワーク,構図,写真撮影,viewfinder,",",,,しぐさ,29
カメラワーク,構図,手すりがある構図,railing,",",,,たくし上げ,5
カメラワーク,構図,手を後ろに回す構図,arm behind back,",",,,脚の動作,7
カメラワーク,構図,少し低い位置から,from right under,",",,,指さし,9
カメラワーク,構図,髪が肩にかかる構図,hair over shoulder,",",,,視線,8
カメラワーク,視点,キャラの横顔,profile,",",,,動作,33
カメラワーク,視点,キャラの後ろからの視点,from behind,",",,,目線,1
カメラワーク,視点,"キャラの後ろからの視点,背中が見える",back viewers,",",,,腕の動作,24
カメラワーク,視点,キャラを横から見る視点,from side,",",,,景色,2
カメラワーク,視点,キャラを見下ろす視点,from above,",",,,時間帯,1
カメラワーク,視点,キャラを見上げる視点,from below,",",,,乗り物,2
カメラワーク,視点,キャラを斜めから見る視点,dutch angle,",",,,場所,44
カメラワーク,視点,"一人称視点,自身の手あり",pov hands,",",,,場所2,32
カメラワーク,視点,顔の正面,facing viewer,",",,,天気,1
カメラワーク,視点,顔の正面2,forhead,",",,,背景,5
カメラワーク,視点,自撮り視点,selfie view,",",,,リラックス,4
カメラワーク,視点,主観,pov,",",,,暗い表情,5
カメラワーク,視点,小人視点,foreshortening,",",,,顔文字,10
カメラワーク,視点,隣からの視点,side view,",",,,困惑,4
カメラワーク,複数画面,複数ビュー,multiple views,",",,,真剣,1
キャラ,Fate,BB,"bb (fate) ,fate/extra ccc, long hair,purple  hair,  purple eyes, {{ black skirt}}, high-waist skirt,black coat, white leotard, black thighhighs, burnt clothes,  white gloves, red  hair ribbon,red neck ribbon, large breasts, on back, looking at viewer",",",,,性的な表情,12
キャラ,Fate,BB,"bb_(fate) ,fate/extra_ccc, long hair,purple  hair,  purple eyes, {{ black skirt}}, high-waist skirt,black coat, white leotard, black thighhighs, burnt clothes,  white gloves, red  hair ribbon,red neck ribbon, large breasts, on back, looking at viewer",",",,,不機嫌,12
キャラ,Fate,アストルフォ,"astolfo (fate),flat chest, tomboy",",",,,明るい,6
キャラ,Fate,イシュタル,"{{ishtar (fate) }},fate/grand order,",",",,,明るい表情,6
キャラ,Fate,イリヤスフィールアインツベルン,illyasviel von einzbern,",",,,テキスト系,15
キャラ,Fate,マシュ・キリエライト,"mash kyrielight, pink hair, short hair, purple eyes, hair over one eye, black glasses, black dress, red tie, black pantyhose, miniskirt, white jacket, hooded jacket",",",,,高品質,1
キャラ,Fate,謎のヒロインXオルタ,"fate/grand order,{{fate (series}}},{{artoria pendragon (fate)}},{{mysterious heroine x alter (fate)}},{{mysterious heroine x alter (second ascension) (fate)}},ahoge,bangs,bike shorts,{{{{{black jacket}}}}},black shorts,{{{{black}}}} thighhighs,blonde hair,blush,braid,breasts,choker,french braid,glasses,hair between eyes,hair bun,hood,hooded jacket,jacket,long hair,long sleeves,looking at viewer,medium breasts,shirt,shorts,sidelocks,single hair bun,white shirt,yellow eyes,character focus, blush, {{{{expressionless}}}},{{loli}},{{{{red scarf}}}},{{black hooded jacket}}",",",,,高品質用,20
キャラ,Fate,謎のヒロインXオルタ(フォーリナー),"game cg,{{{hyper detailed}}},fate/grand order,{{fate (series}}},{{artoria pendragon (fate)}},{{mysterious heroine x alter (fate)}},{{mysterious heroine x alter (second ascension) (fate)}},1girl,ahoge,bangs,bike shorts,black jacket,black shorts,black thighhighs,blonde hair,blush,braid,breasts,choker,french braid,glasses,hair between eyes,hair bun,hood,hooded jacket,jacket,long hair,long sleeves,looking at viewer,medium breasts,shirt,shorts,sidelocks,single hair bun,white shirt,yellow eyes,character focus, blush, expressionless,loli,",",",,,繊細な身体,1
キャラ,FE,ミカヤ,"{{{{{{{{a girlmicaiah fire emblem}}}}}}}},{yellow eyes},{{{{red sleeveless dress}}}},side slit,belt,long fingerless gloves,hair ribbon,blue hair ribbon,long scarf,blue scarf,black gloves,black pantyhose,medium breasts,simple background,{half updo},orange bird on hand",",",,,繊細な頭部,1
キャラ,Hololive,すいちゃん,"{{{hoshimachi suisei}}, blue hair, side ponytail, star choker,, grey plaid jacket, grey plaid headwear, plaid dress, collared shirt",",",,,繊細な背景,1
キャラ,Hololive,トワ様,"{hololive, tokoyami towa,purple hair, twintails, green eyes, long hair,demon tail}{whitejacket, black shorts, black cap,navel}",",",,,低品質テンプレ,2
キャラ,Hololive,フブちゃん,"{{{shirakami fubuki}}}, fox girl, white hair,braid, ahoge, animal ear fluff, aqua eyes, black ribbon, white shirt, off shoulder",",",,,低品質脚部,43
キャラ,Hololive,マリン船長,"houshou marine, red hair,heterochromia",",",,,低品質触手,5
キャラ,Hololive,るーちゃん,"{hololive,uruha rushia,green hair,bun head,butterfly,red eyes, short hair,small breasts}",",",,,低品質身体,23
キャラ,VOCALOID,初音ミク,hatsune miku,",",,,低品質成人向け,22
キャラ,VOICE BOX,ずんだもん,"5 years old,loli,minigirl,flat chest,preschooler,{{{{green hair, short hair}}}},orange eyes, unusual pupils,v shaped eyebrows,skin fang,green horse ears,small breasts,white shirt,white suspenders,green shorts,short sleeve,green footwear,pink bow,kawaii,pink bow",",",,,低品質頭部,39
キャラ,VOICE ROID,結月ゆかり,yuzuki yukari,",",,,低品質胴体,26
キャラ,VOICE ROID,紲星あかり,"kizuna akari,silver hair,blue eyes,voice roid,long braid hair",",",,,低品質背景,7
キャラ,アイマス,アナスタシア,"{{{{masterpiece}}}},idol master, cinderella girls, anastasia (idolmaster) ,wolf cut,{{{whitesmokehair}}}, short hair,frills, white shirt, {{black corset}}, {sleeveless}, [lolita fashion], pleated skirt, {{{{{blue skirt}}}, mini skirt, black thighhighs,garter belt,",",",,,低品質服装,11
キャラ,アイマス,新田美波,"idol master, cinderella girls, nitta minami straight hair,brown hair,medium breasts,frills, white shirt, {{black corset}}, {sleeveless}, [lolita fashion], pleated skirt, {{{{{blue skirt}}}, mini skirt, black thighhighs,garter belt,",",",,,低品質用,27
キャラ,アイマス,藤居朋,"fujii tomo, idolmaster cinderella girls, blunt bangs, ponytail, wavy hair, dark green hair, brown eyes, round eyes, white bow,",",",,,低品質腕部,38
キャラ,アイマス,樋口円香,higuchi madoka,",",,,トップス,29
キャラ,アイマス,夢見りあむ,yumemi riamu,",",,,ドレス,15
キャラ,アトリエ,ライザ,"atelier ryza,{{{red shorts}}}, short hair,white hat,black bow, necklace, thigh boots, brown boots, strapless shirt, white shirt,brown belt,large calf",",",,,ボトムス,19
キャラ,イレーナ魔女の旅立ち,イレーナ,elaina,",",,,下着,15
キャラ,ウマ娘,オグリキャップ,oguri cap (umamusume),",",,,靴,5
キャラ,ウマ娘,サイレンススズカ,silence suzuka (umamusume),",",,,靴下,6
キャラ,ウマ娘,セイウンスカイ,seiun sky (umamusume),",",,,水着,14
キャラ,ウマ娘,ダイワスカーレット,daiwa scarlet (umamusume),",",,,袖,8
キャラ,ウマ娘,ナイスネイチャ,nice nature (umamusume),",",,,特徴,12
キャラ,ウマ娘,マヤノトップガン,"mayano top gun (umamusume), orange hair, two side up, kinky hair",",",,,和装,7
キャラ,ウマ娘,マンハッタンカフェ,"umamusume, {{{{black}}}}long straight hair,{{{{black hair}}}},yellow eyes,black cloth,yellow necktie,very long hair between eyes,black coat,black pleated skirt,black collared shirt,{{luminows eyes}},flat chest",",",,,#REF!,0
キャラ,ウマ娘,メジロマックイーン,mejiro mcqueen (umamusume),",",,,没入,0
キャラ,ウマ娘,ライスシャワー,rice shower (umamusume),",",,,,0
キャラ,オリキャラ,オリキャラ,original character,",",,,,
キャラ,オリキャラ,テンプレ娘,"{{{18 years old}}},{girl},{{{{{playing card}}}}},{{black hair, short hair}},{{{purple eyes, tsurime}}},{{{mole under eye}}},{purple nightdress},black bridal gauntlets,black stockings,black footwear,purple hairpin,purple bracelet,purple necklace,black cape,purple earring,{{{kawaii}}}",",",,,,0
キャラ,グランブルーファンタジー,エルーン（グラブル）,erune,",",,,,0
キャラ,ごちうさ,ここあ,"{{{hoto cocoa (gochiusa)}}},hoto cocoa's school uniform,orange hair, hair ornament, pink vest, short hair",",",,,,0
キャラ,ごちうさ,チノちゃん,kafuu chino,",",,,,0
キャラ,ごちうさ,ちや,"ujimatsu chiya ,gochuumon wa usagi desu ka?, black hair,long hair,blunt bangs,blown hair,shiny hair,flower ornament,green eyes,medium breasts,loli girl,japanese maid,long sleeve,on cafe",",",,,,0
キャラ,このすば,アクア,aqua (konosuba),",",,,,0
キャラ,このすば,めぐみん,megumin,",",,,,0
キャラ,ゼノブレイド,ヒカリ,mythra(xenoblade),",",,,,0
キャラ,ゼノブレイド,ホムラ,pyra(xenoblade),",",,,,0
キャラ,にじさんじ,静凛," {{shizuka rin}}, {navy hair},yellow eyes,blazer suit,short hair, {{{purple}}} bow,pleated skirt,stockings,sweater",",",,,,0
キャラ,ブルーアーカイブ,アスナ(ブルーアーカイブ),asuna (blue archive),",",,,,0
キャラ,ポケモン,エリカ,"{{{{{erika pokemon}}}}},bangs,black hair,short hair,bob cut,straight hair,slender,midium breasts,{{{yellow kimono}}},yellow upper body,{{{red hairband}}},not wide hairband,red hakama,long sleeves,wide sleeves",",",,,,0
キャラ,ポケモン,マリィ,marnie (pokemon),",",,,,0
キャラ,ポケモン,リーリエ,lillie (pokemon),",",,,,0
キャラ,まちカドまぞく,シャミ子,"{{yoshida yuuko (machikado mazoku)}}, red hair, long hair smile, sidelocks, demon horns, ahoge, t-shirt, {{layered skirt}} , fulldody, {{{black leggings}}}, demon tail,{{{loli}}}",",",,,,0
キャラ,まちカドまぞく,千代田桃,"{{madhikado mazoku}}, {{chiyoda momo}}, 1girl, solo, pink hair, hairclip, hair ornament, green eyes, medium hair, hair ornament, small breasts, school uniform, yellow hoodie over school uniform, plaid skirt , blue skirt, red ribbon, pink hair clip, bob cut",",",,,,0
キャラ,ラブライブ,高坂穂乃果,"{{{love live! school idol project}}},{{{love live!}}}, {{{kousaka honoka}}},blue eyes,side ponytail",",",,,,0
キャラ,ラブライブ,西木野真姫,nishikino maki,",",,,,
キャラ,リゼロ,エミリア,emilia (re:zero),",",,,,
キャラ,リゼロ,レム,rem (re:zero),",",,,,
キャラ,艦これ,金剛,kongou(kancolle),",",,,,
キャラ,艦これ,鹿島,kashima (kancolle),",",,,,
キャラ,原神,エウルア,eula (genshin impact),",",,,,
キャラ,原神,クレー,"{{klee (genshin impact) }},blond hair, low twintail, red eyes, cabbie hat, white shorts, long sleeves, pointy ears, red dress, backpack, red headwear, {{brown gloves}}",",",,,,
キャラ,原神,サユ,sayu (genshin impact),",",,,,
キャラ,原神,ノエル,"noelle (genshin impact) ,Silver short hair,Green eyes,red rose,white cloth,white armor dress,kawaii and cute,red skirt",",",,,,
